RESTAURANT;DIRECCION;TELEFONO
Cineplanet;Av. Andrés Bello 2422, Providencia, Región Metropolitana;Telefono no encontrado
Sushi Gaman Retro Bar;Encomenderos 254, Las Condes, 7550593, Región Metropolitana, Chile;9 2003 0585
Mr Qiu;Los Militares 6531, Las Condes, Región Metropolitana, Chile;(2) 2502 0452
La Real Pizza;Av. Principal Capitán Ignacio Carrera Pinto 820, Recoleta, Región Metropolitana, Chile;Telefono no encontrado
Gales Restobar;Príncipe de Gales 6918, La Reina, 8320000, Región Metropolitana, Chile;Telefono no encontrado
Dalai Lomo Providencia;providencia santiago metropolitan region chile ramon carnicer 93;(2) 2222 3418
Bronto Family;Av. Condell 1574, Ñuñoa, 7770209, Región Metropolitana, Chile;9 8777 1592
Kinari Sushi Nikkei;Teatinos 424, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Pizzería Casa Roma;Serrano 239;Telefono no encontrado
Ikebana Sushi Fusion;Simón Bolívar 3737, Santiago, Ñuñoa 7790567, Región Metropolitana, Chile;9 7144 8726
Foodart Chorrillanas y Picoteos;Román Díaz 1119, Providencia, Chile;(2) 2235 0984
Hacienda Huentelauquen;Av. Apoquindo 4411, Las Condes, Región Metropolitana, Chile;Telefono no encontrado
Mafu Food;Víctor Manuel 1382, Santiago, 8360334, Región Metropolitana, Chile;9 2076 5318
Fabric Burger;Gral. Holley 114, Santiago, Providencia, Región Metropolitana, Chile;9 7760 7655
Crazy George Burger;Sta. Isabel 514, Providencia, Región Metropolitana, Chile;9 3127 6422
Veganlandia;Av. Manquehue Sur 1231, Las Condes, Chile;Telefono no encontrado
Emma Rolls;Monseñor Miller 24, Providencia, Santiago, Región Metropolitana, Chile;9 5798 7827
Margareth Bakes;Tegualda 1571, Ñuñoa, Región Metropolitana, Chile;Telefono no encontrado
Alexandrina Gelateria Santiago;Tarapacá 884, Santiago, Chile;9 3246 7761
La Burgerladen;Viña del Mar 049, Providencia, Región Metropolitana, Chile;9 9810 1447
Hiedra Vegana;Girardi 1236, Providencia, Región Metropolitana, Chile;9 8379 9838
Palermos Pizza;Dominica 143, Recoleta, Chile;(2) 3278 2444
Pokesalad;Victoria 394, Santiago, 8360315, Región Metropolitana, Chile;Telefono no encontrado
Fornarias Pizzaria;Bellavista 0862, Providencia, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Biaggio S Pizza;Victoria 1016, Santiago, Santiago Centro, Chile;Telefono no encontrado
SUSHINIKKEI 17;Los Piñones 011, Providencia, Santiago, Chile;9 7384 9704
Sushi Nan Recoleta;Nueva Recoleta 3632, Recoleta, Chile;9 5108 0841
Domenicos Pizza;Av. Italia 1584, Ñuñoa, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Durangos Pizzas;Merced 562, Santiago, Chile;Telefono no encontrado
Pasteleria y Cafeteria la Monse;Tobalaba 2091, Providencia, Chile;Telefono no encontrado
Pizzas Kasoli S;General Mackenna 1038, Santiago, Chile;Telefono no encontrado
Angus Grill Restaurant;Avenida Pedro de Valdivia 2874, Ñuñoa, Chile;9 9587 1364
Capriccianos Pizza;Avenida Vitacura 3520, Vitacura, Chile;600 424 6000
The Rangers Hob Empanadas;Chiloe 1142, Santiago, Chile;Telefono no encontrado
Heladeria Blus;Estrella Solitaria 5001, Ñuñoa, Región Metropolitana, Chile;Telefono no encontrado
Caleta Barra Marina;Bellavista 0896, Providencia, Chile;Telefono no encontrado
The Frosting;Av Vitacura 2914, Comuna de Las Condes;(2) 2243 7079
Alta Cocina Peruana;Ernesto Pinto Lagarrigue 125, Recoleta, Región Metropolitana, Chile;Telefono no encontrado
Dodici Cafe;Av. Providencia 2169  local 1 Comuna Providencia, Providencia, Región Metropolitana, Chile;9 8717 6957
Tegualda;Román Díaz 17, Providencia, Chile;(2) 3246 0685
Quibop Sushi Providencia;Gral. Holley 2277, Providencia, Chile;9 8680 9835
Nican Sushi Recoleta;Av. Recoleta 2788, l4, Recoleta, Chile;Telefono no encontrado
Inagi;Amunátegui 1022, 8340077 Santiago, Región Metropolitana, Chile;9 8227 5063
Bar Cofradia;Avenida Condell 1460, Providencia, Chile;9 7473 2648
Il Golosso;Avenida Manuel Montt 1583, Providencia, Chile;Telefono no encontrado
Lancelot;Santos Dumont 296, Recoleta, Región Metropolitana, Chile;(2) 2790 1300
New View;Bellavista 73-99, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Nickpapas Toppings;Bellavista 022, 7520392 Santiago, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Akitoy Sushi Nikkei;Avenida Santa Rosa 441, Santiago, San Joaquín, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Comal Chilango;Av. Italia 1820, Ñuñoa, Chile;9 3066 0590
La Milagrosa;Lira 1215, 8360083 Santiago, Región Metropolitana, Chile;9 2184 7262
Polleria Carmelita;Av. Apoquindo 7028, Las Condes, Chile;(2) 3252 9325
Restaurant Peruano el Sabroson;Santa Isabel 481, Providencia, Provincia de Santiago, Chile;9 5011 0471
Salo Burger;Av. Irarrázaval 3788, Ñuñoa, Región Metropolitana, Chile;Telefono no encontrado
Aji Recutecu;Sta. Isabel 0308, 7501428 Santiago, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Peru Clasico Santiago Centro;Copiapó 508, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Vittamina Restaurant;Paseo Orrego Luco 42, Providencia, Chile;Telefono no encontrado
Gusti Pasta Vegani;Grecia 1317;Telefono no encontrado
Burgatta;(local 105) Holanda 067, Providencia, Chile;Telefono no encontrado
Rgb;Av. Los Leones 2108, Providencia, Región Metropolitana, Chile;9 2182 1670
Roggendorf Pasteleria;Rosario Sur 95, Las Condes, Chile;(2) 2342 3481
Taberna Pizza X Metro;Avenida Ricardo Cumming 73, Santiago, Chile;(2) 2699 8207
Crispy Waffles Sta Victoria;Sta Victoria 210, Santiago, Región Metropolitana, Chile;(2) 2635 2020
La Gohaneria;Miguel Claro 89, Providencia, Región Metropolitana, Chile;(2) 2418 0605
El Ganif Shawarma Comida Arabe;Amalia Errázuriz 956, Independencia, Chile;Telefono no encontrado
El Perdón Helados;San Crescente 8, Las Condes, Chile;Telefono no encontrado
Crispy Churros;Arturo Prat 1365, 8360376 Santiago, Región Metropolitana, Chile;Telefono no encontrado
Popit Waffles;Av. Los Zapadores 587, 8440254 Recoleta, Región Metropolitana, Chile;Telefono no encontrado
Big O Pizza;Avenida Providencia 2322, Providencia, Chile;9 3554 7815
Entre Laloslololo;Av. Sucre 2435, Ñuñoa, Región Metropolitana, Chile;Telefono no encontrado
Treng Burguer;Avenida Cristóbal Colón 8669, Las Condes, Chile;Telefono no encontrado
La Orquidea Pasteleria;Sta. Lucía 270, 8320190 Santiago, Región Metropolitana, Chile;9 3652 2608
Sushi Nisei;Av. Irarrázaval 4628, Ñuñoa, Región Metropolitana, Chile;Telefono no encontrado
Chelsea Pizza;Av. Portugal 927, Santiago, Chile;Telefono no encontrado
Kohi Sushi;Av. Sucre 320, 7770210 Ñuñoa, Región Metropolitana, Chile;9 7420 6303
Cafeteria Incuba;Gral. Bulnes 72, 8350579 Santiago, Región Metropolitana, Chile;9 4037 9549
Roosterbull;Av. El Salto 3302, Santiago, Recoleta, Región Metropolitana;9 4938 6561
Gorbea Sushi;Gorbea 2081, Santiago, Región Metropolitana, Chile;9 7317 7547
Rest Wok Grill.;Loreto 83 - Loreto, Recoleta, Chile;Telefono no encontrado
Cele Sushi Ñuñoa;Azapa 3843, Ñuñoa, Chile;9 7677 9371
Cele Sushi;Santa Isabel 219, Providencia, Chile;9 7677 9371
Holleer Restobar Providencia;Gral. Holley 2285, Providencia, Región Metropolitana, Chile;9 3029 7948
Fabric Burger Suecia;Suecia 70, Providencia, Chile;Telefono no encontrado
La Casa Del Sushi Restaurant;Las tranqueras 1594;9 5524 2622
Superbowl;Avenida Manquehue Sur 1231, Las Condes, Chile;(41) 313 3974
Biaggios Pizzas;Av. Portugal 926, Santiago, Región Metropolitana, Chile;(2) 3278 1777
Gourmeteria;Doctor Pedro Lautaro Ferrer 2020, Providencia, Chile;9 8239 2202
Durangos Pizzas Chacabuco;Av Italia 1584;Telefono no encontrado
Pura Gula Satelite;José Domingo Cañas 2183, Ñuñoa, Chile;Telefono no encontrado
Biaggios Pizzeria;Victoria 1016, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Mazzones Pizza;José Manuel Infante 1320, Providencia, Región Metropolitana, Chile;600 424 6000
El Palacio de la Arepa Mixta Santiago;Nataniel Cox 144, 8330238 Santiago, Región Metropolitana, Chile;Telefono no encontrado
Alsham Comida Arabe;Av. Padre Hurtado Sur 403, 7571656 Las Condes, Región Metropolitana, Chile;Telefono no encontrado
Alminuto Sushi;Rancagua 621, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Marraqueta Rustica;Avenida El Salto 2855, a 2857, Recoleta;9 4453 4013
Veggie Thai;León Weinstein 5056, Ñuñoa, Chile;Telefono no encontrado
Suzaku Delivery;Aguas Claras 1595, 7850327 La Reina, Región Metropolitana, Chile;Telefono no encontrado
Vandals;Avenida Francisco Bilbao 5365, La Reina, Chile;(2) 3339 9391
Castillo Deli;Castillo Urizar 2266, Macul, Región Metropolitana, Chile;9 2086 4954
Alminuto Foods;Rancagua 621, Providencia, Chile;9 6456 2179
Estacion Burger;Ernesto Pinto Lagarrigue 216a, Recoleta, Chile;9 9790 3723
Benjamin Alvarado Gastronomia;Teniente Montt 1980, Ñuñoa, Chile;Telefono no encontrado
Mi Vegano Gourmet;Los Agustinos 5590, Ñuñoa, Chile;Telefono no encontrado
Restobar Santiago;Compañía de Jesús 1509, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Casa Pirita;Marchant Pereira 433, Providencia, Región Metropolitana, Chile;9 9159 6040
Fuente los Bravos;Freirina 3816, Recoleta, 8420000, Región Metropolitana, Chile;9 2017 0820
Kelo Burger;Avenida El Salto 2307, Recoleta, Chile;9 4553 1416
La Lucha Sangucheria Costanera Center;Avenida Andrés Bello 2461, Providencia, Región Metropolitana, Chile;9 8679 8210
Oggi Gelato;Holanda 310, Providencia, Chile;(2) 2929 4215
Un Siete Food;San Francisco 981, Santiago, Región Metropolitana, Chile;9 9772 2641
Karat Pita Bowl Vegano;Av. Los Leones 2477, Providencia, Chile;Telefono no encontrado
Poke y Go;Avenida Los Leones 1558, Providencia, Chile;9 2182 1670
Veggie Lunchs;José Domingo Cañas 386, 7750103 Ñuñoa, Región Metropolitana, Chile;9 9784 4434
Japo Sushi;Balmoral 309, Las Condes, Chile;(2) 3340 6199
Coyotes;Local TM032, Avenida Nueva Costanera 3900, Santiago;9 7375 8397
Takoneko;Avenida Italia 686, Providencia, Chile;9 7900 1211
Cafe Calendula;Malaquías Concha 0345, Providencia, Ñuñoa, Chile;Telefono no encontrado
Crazy George Burgerr;Sta. Isabel 0506, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Taqueria el Socio;Av. Larrain 6759, 7850000 La Reina, Región Metropolitana, Chile;9 2090 4649
Chicken Little Fried;Santa Isabel 514, Providencia, Chile;Telefono no encontrado
El Almuerzazo;Aguas Claras 1640, 7850309 La Reina, Región Metropolitana, Chile;Telefono no encontrado
Strangers Burger;Catedral 2596, Santiago, Región Metropolitana, Chile;9 4993 5777
Cami Pon la Cafetera;Campo de Deportes 850, Ñuñoa, Chile;Telefono no encontrado
Quiroz Cafe;Marín 124, Providencia, Chile;9 8680 2826
Paradiso;Av. Apoquindo 4526, Las Condes, Región Metropolitana( por la salida de la estacion de militares);Telefono no encontrado
La Punta;Quinchamalí 14184, 3, Lo Barnechea, Las Condes, Región Metropolitana;9 9004 3502
Pasteleria Biella;Hannover 5583 Ñuñoa;(2) 2993 2279
Dunkin';AV. APOQUINDO 6087 L.4, LAS CONDES;(2) 2211 3013
Fork;Mall Sport - Avenida las Condes, Santiago, Las Condes, Chile;Telefono no encontrado
Subway;Camino El Alba 12620, local 1A;Telefono no encontrado
Brussels Heart Of Chocolate;Linneo 6575 Las Condes, Región Metropolitana;(2) 3252 4437
Délice;Alonso de Córdova 5320, Las Condes, Región Metropolitana, Chile;9 9919 6610
Starbucks;General Blanche 11860, Las Condes;Telefono no encontrado
Quererte Cafetería;Camino El Alba 12620, Las Condes, Región Metropolitana, local 14 la condes;(2) 2759 5801
Emporio La Rosa;"El Rodeo 12850 Lo Barnechea Región Metropolitana local 78; Lo Barnechea";9 9218 8220
