RESTAURANT;DIRECCION;TELEFONO
Bueno Bueno Macul;Av. Marathon 4964, Macul, Región Metropolitana, Chile;Telefono no encontrado
Sin Reserva;Av. Padre Hurtado Sur 850, Las Condes, 7600300, Región Metropolitana, Chile;Telefono no encontrado
Milaresto;Huerfanos 830, Santiago, Chile;Telefono no encontrado
Rincon Sureno;Los Alerces 1939, 7780298 Ñuñoa, Región Metropolitana, Chile;9 6209 9528
Espacio Mestizo;Bellavista 0573, Providencia, Región Metropolitana, Chile;9 5453 2520
Rutas Burger;Santa Filomena 144;Telefono no encontrado
Too Much;Monjitas 640;(2) 2638 3541
Takeshi Food;Malaquias Concha 0265, Ñuñoa;9 6277 8963
Cafe Meche;Santa Beatriz 203, Providencia, Chile;9 9866 4064
Eat At Joes;Av Vitacura 7604, Vitacura, 7640510, Región Metropolitana, Chile;9 4246 0739
Cineplanet;Av. Andrés Bello 2422, Providencia, Región Metropolitana;Telefono no encontrado
Tio Tomate;avenida italia 975, providencia;(2) 2316 2176
Treasure Sushi Delivery Ñuñoa;Cordillera 1132, Ñuñoa, Chile;9 7483 3340
TGI Friday's;(ENTREGAR POR CALLE dardignac) Constitución 97, Providencia, Región Metropolitana;Telefono no encontrado
Kkao Cafe;Humberto Trucco 45, Ñuñoa, Chile;9 7794 6199
Mitsuko Sushi;Javiera Carrera Sur 22, La Reina, Chile;(2) 2226 3140
Detodito Gourmet;santo domingo 579 santiago;9 5214 2218
Bronto Family;Av. Condell 1574, Ñuñoa, 7770209, Región Metropolitana, Chile;9 8777 1592
La Maison Delice;Alcalde Eduardo Castillo Velasco 3047, Ñuñoa, Región Metropolitana, Chile;(2) 2225 0355
Liberte Chocolat Chocolateria;Pedro de Oña 68 ñuñoa;(2) 3266 8949
Kinari Sushi Nikkei;Teatinos 424, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Sexy Burger;Av. Los Leones 22 Providencia Región Metropolitana (local de Get the Wok);9 4446 2425
Ikebana Sushi Fusion;Simón Bolívar 3737, Santiago, Ñuñoa 7790567, Región Metropolitana, Chile;9 7144 8726
Sushi Ota;Av. Vicuña Mackenna 859, Santiago, Ñuñoa, Región Metropolitana;(2) 2634 1737
Hacienda Huentelauquen;Av. Apoquindo 4411, Las Condes, Región Metropolitana, Chile;Telefono no encontrado
Sichuan Ma la;Av. Francisco Bilbao 1094, Providencia, 7501052, Región Metropolitana, Chile;Telefono no encontrado
Maloha Sushi y Sándwich;avenida vicuña Mackenna 371;Telefono no encontrado
Hiedra Vegana;Girardi 1236, Providencia, Región Metropolitana, Chile;9 8379 9838
Himalaya;Avenida Irarrázaval 1820, Ñuñoa;9 8865 4495
Pokesalad;Victoria 394, Santiago, 8360315, Región Metropolitana, Chile;Telefono no encontrado
Sushi Yerkiss;Av. Grecia 6619, 7920073 Penalolen, Peñalolén, Región Metropolitana, Chile;9 3118 4895
HIROKI SUSHI;general jofre 140 local 2 , santiago;(2) 2213 8445
Yanagui Sushi;Nueva Los Leones 0140, Providencia, Región Metropolitana;(2) 2333 0213
Mezcla Cafetería;Bellavista 0290 B, Providencia;Telefono no encontrado
Soichiro Sushi;Av. Sucre 3060, Local D, Ñuñoa, Santiago (Por Los Leones);Telefono no encontrado
La Fuente del Bávaro;Padre Alonso de Ovalle 731;(2) 2638 8176
Woking Restaurant;Av Vitacura 2912 Las Condes Región Metropolitana;(2) 3232 0536
Nikkei Sushi Nanshi;San Pablo 2431 Santiago Región Metropolitana;9 7384 9704
Furakan Asian;Avenida Irarrázaval 3344, Ñuñoa, Chile;Telefono no encontrado
Nyam Nyam;Av. Vicuña Mackenna 563, Santiago, Región Metropolitana, Chile;Telefono no encontrado
D'Todito;nataniel  cox 135, sant;9 5214 2218
The Frosting;Av Vitacura 2914, Comuna de Las Condes;(2) 2243 7079
Santiago Eats.;Sierra Bella 1219;Telefono no encontrado
Selvado;Antonia López de Bello 0118, Providencia, Santiago, Chile;(2) 2723 6966
Heart Attack;Simón Bolívar 2585, Ñuñoa, Región Metropolitana, Chile;(2) 2501 1599
Tuttobene Ossa;Vicuña Mackenna 276, Providencia;(2) 2699 9702
Papa's Shop;Av. Larrain 6800 La Reina Región Metropolitana;9 8737 3782
Yankee Burger;Padre Alonso de Ovalle 731, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Restaurant Peruano Susan 2;carmen covarrubias 90, ñuñoa;(2) 2237 3653
Mr. Takoyaki;Av. Brasil 130, Santiago, Región Metropolitana;Telefono no encontrado
Dragon Pizzeria;Victoria 1016, Santiago, Región Metropolitana, Chile;9 4016 2994
Lancelot;Santos Dumont 296, Recoleta, Región Metropolitana, Chile;(2) 2790 1300
Nickpapas Toppings;Bellavista 022, 7520392 Santiago, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Fries & Bites;Av. Apoquindo 4562, Las Condes, Chile;Telefono no encontrado
La Tía Peta;Vicuña Mackenna 371, Santiago, Región Metropolitana, local 1;(2) 2904 8105
Restaurant Peruano el Sabroson;Santa Isabel 481, Providencia, Provincia de Santiago, Chile;9 5011 0471
Salo Burger;Av. Irarrázaval 3788, Ñuñoa, Región Metropolitana, Chile;(2) 2427 9597
La Pura Mexicana;Vicuña Mackenna 371, Santiago, Región Metropolitana,local 3;(2) 2951 2266
Patio Pop 1;Av. Italia 1664, Ñuñoa, Región Metropolitana, Chile;9 7194 0727
Gusti Pasta Vegani;Grecia 1317;Telefono no encontrado
Burgatta;(local 105) Holanda 067, Providencia, Chile;9 2038 1070
Roggendorf Pasteleria;Rosario Sur 95, Las Condes, Chile;(2) 2342 3481
EL WN DEL SUSHI;Ureta Cox 211, San Joaquín, Región Metropolitana, Chile;9 6757 0313
Frito Frito.com;Coquimbo 330, Santiago, Región Metropolitana;Telefono no encontrado
Fresh Salads Providencia;Bellavista 384, Providencia, Recoleta, Región Metropolitana, Chile;(2) 3210 8238
Restobar Santiago;Compañía de Jesús 1509, Santiago, Región Metropolitana, Chile;9 9131 0403
Casa Pirita;Marchant Pereira 433, Providencia, Región Metropolitana, Chile;9 9159 6040
El Perdón Helados;San Crescente 8, Las Condes, Chile;Telefono no encontrado
Pez de Oro;Av. Manuel Montt 1060 Providencia, Región Metropolitana;(2) 3224 9860
Popit Waffles;Av. Los Zapadores 587, 8440254 Recoleta, Región Metropolitana, Chile;Telefono no encontrado
Pastelería Estambul;Morandé 546, Santiago, Región Metropolitana;9 5876 6765
Bar Nacional Las condes;Isidora Goyenechea 2926, Las Condes;(2) 2335 9400
Estacion Santa Gula;Carlos Ossandon 911, 7860514 La Reina, Región Metropolitana, Chile;9 7668 5455
El Pollo Bakán;Av. Salvador 865 Providencia, Región Metropolitana;(2) 2379 0259
New Horizon;Merced 565, Santiago, Región Metropolitana;(2) 2632 1622
Baco's Burger & Sushi;Vicuña Mackenna 371 Santiago Región Metropolitana;(2) 2222 1414
Poke Bowl;vicuña mackenna 371 local 3, Santiago;(2) 2745 8199
Kohi Sushi;Av. Sucre 320, 7770210 Ñuñoa, Región Metropolitana, Chile;9 7420 6303
El Emir;21 de Mayo, Santiago, Santiago Centro, Chile;(2) 2996 0645
El Rincón de Abril;San Gumercindo 3920 quinta normal;9 3392 3134
Quiroz Cafe;Marín 124, Providencia, Chile;9 8680 2826
Cafetaleros;Av. Providencia 183, Providencia, Región Metropolitana;Telefono no encontrado
Cafeteria Incuba;Gral. Bulnes 72, 8350579 Santiago, Región Metropolitana, Chile;9 4037 9549
Giulietta;Carmencita 13, Las Condes, Santiago;(2) 2317 2528
Rest Wok Grill.;Loreto 83 - Loreto, Recoleta, Chile;Telefono no encontrado
Sabores del Ají Seco;Av. Francisco Bilbao 2435, Providencia, Región Metropolitana;(2) 2205 5519
Chueca Bar;Rancagua 406, Providencia;9 5864 0093
El Pinche Mexicano;Vicuña Mackenna 371, Santiago Chile;Telefono no encontrado
Cele Sushi;Santa Isabel 219, Providencia, Chile;9 7677 9371
Fabric Burger Suecia;Suecia 70, Providencia, Chile;Telefono no encontrado
Fork;Carlos Silva Vildósola 9073, La Reina;Telefono no encontrado
Don Chingon;Vicuña Mackenna 371, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Emporio Condell;av condell 639 providencia region metropolitana chile;(2) 2225 5972
Sushi Kay;alameda 949 local 228 229 santiago;600 473 0000
Rock And Churros;Bucarest 202, Providencia, Región Metropolitana, Chile;(2) 3245 2995
Que antojitos;placer 880 local 43 patio de comida santiago region metropolitana chile;9 3642 7582
Sofá Café;Exequiel Fernández 2339, Macul, Chile;Telefono no encontrado
Pasteleria Biella;Hannover 5583 Ñuñoa;(2) 2993 2279
Mazzones Pizza;José Manuel Infante 1320, Providencia, Región Metropolitana, Chile;600 424 6000
Sayonara Sushi Vip;Los angeles 1699 a independencia;9 3205 9398
Dama Negra;dr sotero del rio 548 santiago region metropolitana chile;Telefono no encontrado
Dunkin';Mariano Sánchez Fontecilla 12000, Local 1035, Peñalolén, Región Metropolitana;(2) 2323 0628
Lacevicheriachile;jose manuel infante 1414 providencia region metropolitana chile;Telefono no encontrado
Suzaku Delivery;Aguas Claras 1595, 7850327 La Reina, Región Metropolitana, Chile;Telefono no encontrado
Castillo Deli;Castillo Urizar 2266, Macul, Región Metropolitana, Chile;9 2086 4954
Starbucks;Av. Echeñique 8490, La Reina, Región Metropolitana;Telefono no encontrado
Las Papitas Fritas;Avenida Manquehue Sur 1231, Las Condes, Chile;(2) 2455 6588
180 Grados;gral mackenna 1182 santiago region metropolitana chile;9 3584 6128
Kelo Burger;Avenida El Salto 2307, Recoleta, Chile;9 4553 1416
Pronto Copec;Tobalaba 11567, Peñalolén, Región Metropolitana;600 200 0202
Burger Br0s;Av. Grecia 8666, Santiago, Peñalolén 7911552, Región Metropolitana, Chile;Telefono no encontrado
Niu Sushi;San Francisco 531, Santiago, Región Metropolitana, Chile;(2) 3290 8221
Mi Vieja Sangucheria;Guillermo Mann 1264, Ñuñoa, Ñuñoa;9 6538 3742
McDonald's Postre;Américo Vespucio 881, local A y B - Ñuñoa;Telefono no encontrado
Budare 246;Vicuña Mackenna 1725, Ñuñoa, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Diávola, Alta Pizza;Av. Los Leones 2258, Providencia, Región Metropolitana, Chile_;Telefono no encontrado
El Chamo;Padre Alonso de Ovalle 1134, Santiago, Chile;(2) 2959 2258
Family Bakery Burguer;San Martín 1032, Santiago, Chile_local 4;Telefono no encontrado
Takoneko;Avenida Italia 686, Providencia, Chile;9 7900 1211
Melt Pizzas;Avenida Consistorial 2100, Penalolen, Peñalolén, Chile;(2) 2386 0200
Family Bakery Panaderia;San Martín 1032, local 4, Santiago;9 8844 5043
Cafe Calendula;Malaquías Concha 0345, Providencia, Ñuñoa, Chile;Telefono no encontrado
Comida Rapida 180 Grados;Gral Mackenna 1182, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Zeste Limón;Hernando de Magallanes 1866, Las Condes, Chile;Telefono no encontrado
Crazy George Burgerr;Sta. Isabel 0506, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Chicken Little Fried;Santa Isabel 514, Providencia, Chile;Telefono no encontrado
Komori Sushi;Av. Tobalaba 15249, comuna de Peñalolen;(2) 2302 4324
Cami Pon la Cafetera;Campo de Deportes 850, Ñuñoa, Chile;Telefono no encontrado
Oh My Pizza;polcura 2289, peñalolen;9 9511 8633
Fork;Irarrázaval 200, Ñuñoa;Telefono no encontrado
Barra Chalaca;(OJO: RETIRO EN EL LOCAL EL JAPONES) Plaza de Armas 419 esquina Phillips, local 433, 435 y 439 Santiago.;Telefono no encontrado
Little Caesars Pizza;Tobalaba 11835, Penalolen, Peñalolén, Región Metropolitana;(2) 2378 3209
El Japonés;Plaza de armas 419, local 463, Santiago;Telefono no encontrado
Gaman Asian Food;Santa isabel 0306;9 3105 6947
Grido;Avenida Consistorial 2100, local 210, Peñalolen;Telefono no encontrado
Sendai Sushi;maule 603 santiago region metropolitana chile;Telefono no encontrado
Guasacaca Pork;María Auxiliadora 834;9 4412 1381
Tommy Beans;Av. Larraín 5862, Retiro en Tienda Tommy Beans , Patio de comidas 4to piso;Telefono no encontrado
Chicken World;san diego 2080 santiago region metropolitana chile;9 4056 5804
Take a Wok;Huerfanos 830, Local RT 4204, Santiago, Santiago;Telefono no encontrado
CJ Comida al Paso;Av. Padre Alberto Hurtado 304, Santiago, Estación Central, Región Metropolitana, Chile;Telefono no encontrado
Solo Hamburguesa Hindenburg;Calle San Ignacio de Loyola 880, Santiago, Región Metropolitana, Chile;Telefono no encontrado
La Terraza;Pío Nono 398, Recoleta, Región Metropolitana, Chile;Telefono no encontrado
PRIMOS;Verdi 250, San Joaquín, Región Metropolitana, Chile;9 5681 9360
McDonald's;Jorge Alessandri 1131 La Reina Región Metropolitana, locales 10,11 y 12;Telefono no encontrado
Dunkin';AV. APOQUINDO 6087 L.4, LAS CONDES;(2) 2211 3013
Pollo Rey;Consistorial 3349 local 11 Peñalolen;(2) 2296 8464
Poke & Wrap, Victoria Santiago;calle victoria 354;(2) 2987 7304
Sabe a Lima Sushi;Av. Condell 1681, Ñuñoa, Región Metropolitana, Chile;Telefono no encontrado
Telepizza;Av. Grecia 8289 Penalolen, Peñalolén Región Metropolitana;(2) 2278 1000
St. Pierre;Moneda 1025, Local 123 Santiago, Región Metropolitana, Chile;(2) 2477 6880
Acquarello Pastas;Providencia, francisco de bilbao 1134;Telefono no encontrado
Shawarmas Janadyan;Sta. Rosa 634, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Natura Sushi;Gran Avenida Jose Miguel Carrera 5940, San Miguel, Región Metropolitana;(2) 2985 5980
Maury Mania;Calle San Ignacio de Loyola 880, Santiago,;Telefono no encontrado
Planta Base Vegan Burgers;Nueva Los Leones 050, Providencia;(2) 2984 9660
Burger King®;Estado 11, Santiago, Región Metropolitana;9 8556 6977
Fork;Mall Sport - Avenida las Condes, Santiago, Las Condes, Chile;Telefono no encontrado
Pizza Station;Olivos 1121, Independencia, Región Metropolitana, Chile;Telefono no encontrado
Kento;Pedro de Gamboa 55, Local 2. Las Condes;(2) 2949 2080
Subway;Camino El Alba 12620, local 1A;Telefono no encontrado
Hangi Sushi;Alonso de Cordova 4294 local 6, vitacura Santiago Chile;9 8862 4264
La Cuarentena Burger;Av Macul 2432, Macul, Región Metropolitana, Chile;Telefono no encontrado
Itamae Sushi;Santa rosa 1539;Telefono no encontrado
China Village;Av. Consistorial 5370, Penalolen, Peñalolén, Región Metropolitana;(2) 2887 8380
El Remanso;Andalién 7330, La Florida, Región Metropolitana, Chile;(2) 2285 2014
Hanoi Sushi;Avenida Francisco Bilbao #4489 CIUDAD SANTIAGO;Telefono no encontrado
Hummus Delicious;Santo Domingo 1355, Santiago, Chile;Telefono no encontrado
Tamashi;portugal 551, local 3, santiago centro;(2) 2919 4101
Délice;Alonso de Córdova 5320, Las Condes, Región Metropolitana, Chile;9 9919 6610
Burger King®;Av. Consistorial 2100, Penalolen, Peñalolén, Región Metropolitana;(2) 2307 6644
DELICIAS FUSION.;Tarapaca 782;(2) 2225 2485
Callejero Restaurant;Carlos Alvarado 7479, Las Condes, Región Metropolitana, Chile;Telefono no encontrado
Starbucks;General Blanche 11860, Las Condes;Telefono no encontrado
Barbazul;Jorge Washington 58, Ñuñoa, Región Metropolitana;Telefono no encontrado
Matilda Pizza;Independencia 565, Independencia, Región Metropolitana;Telefono no encontrado
Vbowls;Irarrázaval 240, Ñuñoa, Región Metropolitana, Chile;Telefono no encontrado
Quererte Cafetería;Camino El Alba 12620, Las Condes, Región Metropolitana, local 14 la condes;(2) 2759 5801
Burger Beef;av consistorial 3349 penalolen penalolen region metropolitana chile;Telefono no encontrado
Las Cuatro;mariano sanchez fontecilla 12078 penalolen penalolen region metropolitana chile;Telefono no encontrado
Curry;Roberto Espinoza 718, Santiago, Región Metropolitana, Chile_;Telefono no encontrado
Pasteleria licious;Av Libertador Bernardo O'Higgins 1621, Santiago, Región Metropolitana, Chile;9 7325 8708
Lima Sushi Providencia;condell 1681;9 9334 0308
Etienne Marcel la Dehesa;El Espino 1949, Lo Barnechea, Chile;(2) 3339 9481
Kami Sushi;jose arrieta 6599 penalolen la reina region metropolitana chile;9 6902 3674
Buffalo Waffles;Av. Larrain 5862, La Reina, Chile_Nivel 1, Modulo MP-1002;Telefono no encontrado
sakae - sushi;avenida vitacura 2914 las condes;Telefono no encontrado
Remakeat;Avenida Manquehue Sur 1231;Telefono no encontrado
Iron Burgers;Av. Los Leones 2108, Providencia, Región Metropolitana, Chile;9 3242 7394
Juan Valdez Café;Calle Padre Hurtado Sur 875, Las Condes,  Local A 1008-MP 1022A, Mall Plaza Los Dominicos,,Mesas-MP-1020A,mesas exterior. Primer piso.;Telefono no encontrado
Mambobistroburguer;Sevilla 1702, Independencia, Región Metropolitana, Chile;9 8758 4818
Mercado Vegano, Tabancura;Nueva los Leones 050;(2) 2769 3866
Estallido Vegano;Santo Domingo 588, Santiago, Región Metropolitana, Chile;(32) 368 6033
Bambinos Waffles;San Pablo 4163, Quinta Normal, Chile;9 7804 8757
Mr. Crepes;avenida tomas moro 1913;9 9613 3177
El Palacio del Poroto con Rienda;Gral Amengual 494, Santiago, Estación Central, Región Metropolitana;9 4937 1089
Tu churro;Camino el alba 9500, local 2b, las condes;9 9643 7747
La Mil Hoja;Av. las condes 14450;(2) 2215 3282
Tiger Wok;Roberto Espinoza 718;(2) 2209 0595
Cada Loco con su Churro;Antupiren 9401-A, Peñalolén;Telefono no encontrado
Doble Zeta Restaurant y Cafeteria;Las Tranqueras 117, Las Condes, Chile;(2) 3263 2491
Aloha Eats Restaurant;Santo Domingo 579, Santiago, Chile;(2) 2632 1622
Buffalo Waffles;Av. Apoquindo 4400;Telefono no encontrado
Chili's;Av. Padre Hurtado Sur 785, local A-3024, Santiago(ENTRADA POR EL COSTADO DEL MALL);Telefono no encontrado
P.F. Chang's;Av. Presidente Kennedy 9001 local 3219;(2) 2307 6617
Comida Casera My Toli;Sazié 1978, Santiago, Chile;9 4472 3901
Raum Café;Emilio Vaisse 565, Providencia, Región Metropolitana, Chile;9 7380 9163
Trattoría Santtino;Av. Consistorial 5410, Penalolen, Peñalolén, Región Metropolitana, Chile;9 3230 8936
Danluis SANGUCHERIA fusión;José Arrieta 6900, La Reina, Región Metropolitana, Chile;9 6416 6980
Pollos a Las Brasas Donde Richard;Av. Las Rejas Sur 601, Santiago, Estación Central, Región Metropolitana, Chile;Telefono no encontrado
Pizza Hut;Av Plaza 1250, Local A, Las Condes, Región Metropolitana;Telefono no encontrado
La Areperia Del Barrio;Andes 2016, Santiago, Región Metropolitana, Chile;9 8776 7830
Burger King®;Padre Hurtado Sur 785, Las Condes;Telefono no encontrado
Fritty`s;Avenida Nueva Costanera 3333, Vitacura, Chile;(2) 2475 6116
Pollo Stereo Asados Totales;Brown Sur 167, Ñuñoa, Región Metropolitana, Chile;Telefono no encontrado
Pollera Del Sol;Alberto Michelson 539, San Miguel, Chile;Telefono no encontrado
The Good Food Santiago Centro;Sta. Elena 1579, Santiago, 8360349, Región Metropolitana, Chile;Telefono no encontrado
Antojos Food;Tucapel Jiménez 141, Santiago, 8340473, Región Metropolitana, Chile;9 3569 4194
Carl's Jr.;(Entrega Pit Stop estacionamiento -1, sector acceso patio de comidas).Padre Hurtado 875 , Piso 4 Mall Plaza Los Dominicos, Las Condes;Telefono no encontrado
Aj3 Food And Drinks;Santo Domingo 760, Santiago, 8320078, Región Metropolitana, Chile;Telefono no encontrado
Sushidea;Paula Jaraquemada 17;9 5774 1276
Oma Sushi;Eleuterio Ramírez 1417, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Mitake Sushi;Padre Alfredo Arteaga 1842, Lo Barnechea, Chile;(2) 2216 8716
Gymburger;Nataniel Cox 1286, Santiago, 8360271, Región Metropolitana, Chile;9 3401 3402
El Meson de Vichy;Rosas 2763, Santiago, 8350287, Región Metropolitana, Chile;Telefono no encontrado
Fuente Chilena;Constitución 36 - Local 50, Patio Bellavista, Providencia;Telefono no encontrado
